date,PriceUSD
03-04-2011,0.9011
03-05-2011,0.907840607
03-06-2011,0.884770973
03-07-2011,0.877583864
03-08-2011,0.866071591
03-09-2011,0.86
03-10-2011,0.92067031
03-11-2011,0.88
03-12-2011,0.917815513
3/13/2011,0.89249
3/14/2011,0.893924923
3/15/2011,0.87224
3/16/2011,0.851211666
3/17/2011,0.82542
3/18/2011,0.801959208
3/19/2011,0.765
3/20/2011,0.7415
3/21/2011,0.75897
3/22/2011,0.809130293
3/23/2011,0.84971
3/24/2011,0.872374366
3/25/2011,0.88377
3/26/2011,0.8552
3/27/2011,0.822
3/28/2011,0.7947405
3/29/2011,0.792509942
3/30/2011,0.789706312
3/31/2011,0.78461
04-01-2011,0.77411
04-02-2011,0.78199
04-03-2011,0.779
04-04-2011,0.68
04-05-2011,0.715691835
04-06-2011,0.74
04-07-2011,0.7538
04-08-2011,0.74999
04-09-2011,0.734060517
04-10-2011,0.733156821
04-11-2011,0.770113933
04-12-2011,0.861381608
4/13/2011,0.930320058
4/14/2011,0.998629766
4/15/2011,0.983673137
4/16/2011,1.046632858
4/17/2011,1.098122098
4/18/2011,1.149433312
4/19/2011,1.185162221
4/20/2011,1.142125985
4/21/2011,1.207338872
4/22/2011,1.404505082
4/23/2011,1.828852301
4/24/2011,1.63198422
4/25/2011,1.564483635
4/26/2011,1.77084089
4/27/2011,1.903175959
4/28/2011,2.285744466
4/29/2011,2.85060509
4/30/2011,3.5
05-01-2011,3.094227553
05-02-2011,3.2
05-03-2011,3.360585704
05-04-2011,3.408673047
05-05-2011,3.343736684
05-06-2011,3.455075584
05-07-2011,3.641262978
05-08-2011,3.848668377
05-09-2011,3.804089582
05-10-2011,5.651667002
05-11-2011,5.439751044
05-12-2011,6.334878694
5/13/2011,8.139034867
5/14/2011,7.007243829
5/15/2011,6.924924845
5/16/2011,7.885140745
5/17/2011,7.257199541
5/18/2011,6.763163362
5/19/2011,6.890143632
5/20/2011,5.618096219
5/21/2011,6.084800667
5/22/2011,6.71195604
5/23/2011,7.065256784
5/24/2011,7.402660582
5/25/2011,8.569289637
5/26/2011,8.782155434
5/27/2011,8.528658468
5/28/2011,8.34926912
5/29/2011,8.400953472
5/30/2011,8.779342465
5/31/2011,8.721576422
06-01-2011,9.623777232
06-02-2011,10.70276023
06-03-2011,14.26464677
06-04-2011,18.31273873
06-05-2011,16.5433424
06-06-2011,18.40209864
06-07-2011,23.23787846
06-08-2011,29.02992133
