No,CP,HighVTL20days,Cycle20,LowVTL20days,HighVTL80days,Cycle80,LowVTL80days,HighVTL360days,Cycle320,LowVTL360days,20 Day FLD
77,0.0614,0.061890936,  ,0.06000099,NA,  ,NA,NA,  ,NA,0.062090756
78,0.061064868,0.061808559,LOW,0.061064868,NA,  ,NA,NA,  ,NA,0.062181146
79,0.061294477,0.061726181,  ,0.061131389,NA,  ,NA,NA,  ,NA,0.062102146
80,0.0614,0.061643804,  ,0.061197911,NA,  ,NA,NA,  ,NA,0.062081972
81,0.06281,0.061561426,  ,0.061264432,NA,  ,NA,NA,  ,NA,0.062014304
82,0.067,0.061479049,  ,0.061330954,NA,  ,NA,NA,  ,NA,0.061966117
83,0.084453108,0.061396671,  ,0.061397475,NA,  ,NA,NA,  ,NA,0.061857252
84,0.0938,0.061314294,  ,0.061463996,NA,  ,NA,NA,  ,NA,0.0617667
85,0.097146201,0.061231916,  ,0.061530518,NA,  ,NA,NA,  ,NA,0.0617047
86,0.095,0.061149539,  ,0.061597039,NA,  ,NA,NA,  ,NA,0.0617857
87,0.0949,0.061067161,  ,0.06166356,NA,  ,NA,NA,  ,NA,0.062265656
88,0.104865589,0.060984783,  ,0.061730082,NA,  ,NA,NA,  ,NA,0.064520577
89,0.102,0.060902406,  ,0.061796603,NA,  ,NA,NA,  ,NA,0.067709577
90,0.105,0.060820028,  ,0.061863125,NA,  ,NA,NA,  ,NA,0.071234197
91,0.101,0.060737651,  ,0.061929646,NA,  ,NA,NA,  ,NA,0.074536865
92,0.102,0.060655273,  ,0.061996167,NA,  ,NA,NA,  ,NA,0.077886865
93,0.1024,0.060572896,  ,0.062062689,NA,  ,NA,NA,  ,NA,0.082266938
94,0.097544892,0.060490518,  ,0.06212921,NA,  ,NA,NA,  ,NA,0.08633749
95,0.099,0.060408141,  ,0.062195731,NA,  ,NA,NA,  ,NA,0.09069749
96,0.107,0.060325763,  ,0.062262253,NA,  ,NA,NA,  ,NA,0.09451649
97,0.1025,0.060243385,  ,0.062328774,NA,  ,NA,NA,  ,NA,0.09801649
98,0.104556424,0.060161008,  ,0.062395296,NA,  ,NA,NA,  ,NA,0.099811179
99,0.11501,0.06007863,  ,0.062461817,NA,  ,NA,NA,  ,NA,0.100185668
100,0.139118553,0.059996253,  ,0.062528338,NA,  ,NA,NA,  ,NA,0.100371048
101,0.151,0.059913875,  ,0.06259486,NA,  ,NA,NA,  ,NA,0.101571048
102,0.1877,0.059831498,HIGH*,0.062661381,NA,  ,NA,NA,  ,NA,0.102331048
103,0.1731,0.05974912,LOW*,0.062727902,NA,  ,NA,NA,  ,NA,0.102300132
104,0.19,0.059666743,  ,0.062794424,NA,  ,NA,NA,  ,NA,0.103601132
105,0.197610544,0.059584365,  ,0.062860945,NA,  ,NA,NA,  ,NA,0.107012987
106,0.1925,0.059501988,  ,0.062927467,NA,  ,NA,NA,  ,NA,0.112012987
107,0.194525061,0.05941961,  ,0.062993988,NA,  ,NA,NA,  ,NA,0.120582987
108,0.1938,0.059337232,  ,0.063060509,NA,  ,NA,NA,  ,NA,0.127652987
109,0.1931,0.059254855,  ,0.063127031,NA,  ,NA,NA,  ,NA,0.136898498
110,0.229275161,0.059172477,  ,0.063193552,NA,  ,NA,NA,  ,NA,0.146759552
111,0.259112414,0.0590901,  ,0.063260073,NA,  ,NA,NA,  ,NA,0.155309552
112,0.400982303,0.400982303,HIGH,0.063326595,NA,HIGH,NA,NA,  ,NA,0.164512058
113,0.34,0.407920717,  ,0.063393116,NA,  ,NA,NA,  ,NA,0.173436416
114,0.243184629,0.414859132,  ,0.063459638,NA,  ,NA,NA,  ,NA,0.181245416
115,0.217272694,0.421797546,LOW,0.063526159,NA,  ,NA,NA,  ,NA,0.190261077
116,0.229549731,0.42873596,  ,0.06359268,NA,  ,NA,NA,  ,NA,0.201072318
117,0.2231,0.435674375,  ,0.063659202,NA,  ,NA,NA,  ,NA,0.222400548
118,0.2682,0.442612789,  ,0.063725723,NA,  ,NA,NA,  ,NA,0.239090548
119,0.276,0.449551203,  ,0.063792244,NA,  ,NA,NA,  ,NA,0.244409011
120,0.27904,0.456489618,  ,0.063858766,NA,  ,NA,NA,  ,NA,0.246375226
121,0.268464556,0.463428032,  ,0.063925287,NA,  ,NA,NA,  ,NA,0.250080199
122,0.225,0.470366446,  ,0.225,NA,  ,NA,NA,  ,NA,0.252937693
