"","CP","VTL20days","start_end_20","Upcross20","VTL80days","start_end_80","Upcross80","VTL360days","start_end_360","Upcross360"
"1015","128.2266696","265.895610784324",NA,NA,"152.620503821429",NA,NA,NA,NA,NA
"1016","134.6235696","267.851867122342",NA,NA,"152.116245828571",NA,NA,NA,NA,NA
"1017","143.8103782","269.80812346036",NA,NA,"151.611987835714",NA,NA,NA,NA,NA
"1018","139.1296475","271.764379798378",NA,NA,"151.107729842857",NA,NA,NA,NA,NA
"1019","116.113801","273.720636136396",NA,NA,"150.60347185",NA,NA,NA,NA,NA
"1020","106.3409847","275.676892474415",NA,NA,"150.099213857143",NA,NA,NA,NA,NA
"1021","96.31684027","277.633148812433",NA,NA,"149.594955864286",NA,NA,NA,NA,NA
"1022","112.4976364","279.589405150451",NA,NA,"149.090697871429",NA,NA,NA,NA,NA
"1023","116.4887158","281.545661488469",NA,NA,"148.586439878572",NA,NA,NA,NA,NA
"1024","112.1185962","283.501917826487",NA,NA,"148.082181885714",NA,NA,NA,NA,NA
"1025","111.6092129","285.458174164505",NA,NA,"147.577923892857",NA,NA,NA,NA,NA
"1026","113.1360619","287.414430502523",NA,NA,"147.0736659",NA,NA,NA,NA,NA
"1027","111.9745327","289.370686840541",NA,NA,"146.569407907143",NA,NA,NA,NA,NA
"1028","117.6910369","291.326943178559",NA,NA,"146.065149914286",NA,NA,NA,NA,NA
"1029","115.4997777","293.283199516577",NA,NA,"145.560891921429",NA,NA,NA,NA,NA
"1030","114.8856756","295.239455854595",NA,NA,"145.056633928572",NA,NA,NA,NA,NA
"1031","117.4044566","297.195712192613",NA,NA,"144.552375935714",NA,NA,NA,NA,NA
"1032","107.8655666","299.151968530631",NA,NA,"144.048117942857",NA,NA,NA,NA,NA
"1033","108.9868524","301.108224868649",NA,NA,"143.54385995",NA,NA,NA,NA,NA
"1034","112.9178741","303.064481206667",NA,NA,"143.039601957143",NA,NA,NA,NA,NA
"1035","117.284616","305.020737544685",NA,NA,"142.535343964286",NA,NA,NA,NA,NA
"1036","118.1698767","306.976993882703",NA,NA,"142.031085971429",NA,NA,NA,NA,NA
"1037","117.0338802","308.933250220721",NA,NA,"141.526827978572",NA,NA,NA,NA,NA
"1038","117.8186365","310.889506558739",NA,NA,"141.022569985715",NA,NA,NA,NA,NA
"1039","117.2520409","312.845762896757",NA,NA,"140.518311992857",NA,NA,NA,NA,NA
"1040","118.9781736","314.802019234775",NA,NA,"140.014054",NA,NA,NA,NA,NA
"1041","123.726156","316.758275572793",NA,NA,"139.509796007143",NA,NA,NA,NA,NA
"1042","128.9710807","318.714531910811",NA,NA,"139.005538014286",NA,NA,NA,NA,NA
"1043","128.8449153","320.670788248829",NA,NA,"138.501280021429",NA,NA,NA,NA,NA
"1044","130.1586011","322.627044586847",NA,NA,"137.997022028572",NA,NA,NA,NA,NA
"1045","126.3929059","324.583300924865",NA,NA,"137.492764035715",NA,NA,NA,NA,NA
"1046","125.9045953","326.539557262883",NA,NA,"136.988506042857",NA,NA,NA,NA,NA
"1047","129.5648124","328.495813600901",NA,NA,"136.48424805",NA,NA,NA,NA,NA
"1048","126.5130684","330.452069938919",NA,NA,"135.979990057143",NA,NA,NA,NA,NA
"1049","127.8164889","332.408326276937","END",NA,"135.475732064286",NA,NA,NA,NA,NA
"1050","128.7911511","128.7911511","START",NA,"134.971474071429",NA,NA,NA,NA,NA
"1051","122.6267089","128.124253028947",NA,NA,"134.467216078572",NA,NA,NA,NA,NA
"1052","122.9491879","127.457354957895",NA,NA,"133.962958085715",NA,NA,NA,NA,NA
"1053","120.1899687","126.790456886842",NA,NA,"133.458700092857",NA,NA,NA,NA,NA
"1054","120.8699238","126.123558815789",NA,NA,"132.9544421",NA,NA,NA,NA,NA
"1055","119.0539757","125.456660744737",NA,NA,"132.450184107143",NA,NA,NA,NA,NA
"1056","110.1977314","124.789762673684",NA,NA,"131.945926114286",NA,NA,NA,NA,NA
"1057","109.1785453","124.122864602632",NA,NA,"131.441668121429",NA,NA,NA,NA,NA
"1058","99.90360345","123.455966531579",NA,NA,"130.937410128572",NA,NA,NA,NA,NA
"1059","104.3575666","122.789068460526",NA,NA,"130.433152135715",NA,NA,NA,NA,NA
"1060","107.5075205","122.122170389474",NA,NA,"129.928894142858",NA,NA,NA,NA,NA
"1061","106.3781163","121.455272318421",NA,NA,"129.42463615",NA,NA,NA,NA,NA
"1062","101.3238977","120.788374247368",NA,NA,"128.920378157143",NA,NA,NA,NA,NA
"1063","99.2132443","120.121476176316",NA,NA,"128.416120164286",NA,NA,NA,NA,NA
"1064","99.87503741","119.454578105263",NA,NA,"127.911862171429",NA,NA,NA,NA,NA
"1065","99.03835126","118.787680034211",NA,NA,"127.407604178572",NA,NA,NA,NA,NA
"1066","100.1263051","118.120781963158",NA,NA,"126.903346185715",NA,NA,NA,NA,NA
"1067","104.2891764","117.453883892105",NA,NA,"126.399088192858",NA,NA,NA,NA,NA
"1068","104.4171508","116.786985821053",NA,NA,"125.8948302",NA,NA,NA,NA,NA
"1069","104.3234997","116.12008775",NA,NA,"125.390572207143",NA,NA,NA,NA,NA
"1070","101.4168574","115.453189678947",NA,NA,"124.886314214286",NA,NA,NA,NA,NA
"1071","100.0395085","114.786291607895",NA,NA,"124.382056221429",NA,NA,NA,NA,NA
"1072","100.3147446","114.119393536842",NA,NA,"123.877798228572",NA,NA,NA,NA,NA
"1073","99.04568323","113.45249546579",NA,NA,"123.373540235715",NA,NA,NA,NA,NA
"1074","97.83278872","112.785597394737",NA,NA,"122.869282242858",NA,NA,NA,NA,NA
"1075","98.65170076","112.118699323684",NA,NA,"122.36502425",NA,NA,NA,NA,NA
"1076","96.8039496","111.451801252632",NA,NA,"121.860766257143",NA,NA,NA,NA,NA
"1077","89.42450672","110.784903181579",NA,NA,"121.356508264286",NA,NA,NA,NA,NA
"1078","88.79729106","110.118005110526",NA,NA,"120.852250271429",NA,NA,NA,NA,NA
"1079","89.48090766","109.451107039474",NA,NA,"120.347992278572",NA,NA,NA,NA,NA
"1080","82.86757013","108.784208968421",NA,NA,"119.843734285715",NA,NA,NA,NA,NA
"1081","87.81646669","108.117310897369",NA,NA,"119.339476292857",NA,NA,NA,NA,NA
"1082","77.6913308","107.450412826316",NA,NA,"118.8352183",NA,NA,NA,NA,NA
"1083","79.13487084","106.783514755263",NA,NA,"118.330960307143",NA,NA,NA,NA,NA
"1084","67.44762385","106.116616684211",NA,NA,"117.826702314286",NA,NA,NA,NA,NA
"1085","66.34168089","105.449718613158",NA,NA,"117.322444321429",NA,NA,NA,NA,NA
"1086","72.10952237","104.782820542105",NA,NA,"116.818186328572",NA,NA,NA,NA,NA
"1087","73.98855377","104.115922471053",NA,NA,"116.313928335715",NA,NA,NA,NA,NA
"1088","74.89191087","103.4490244",NA,NA,"115.809670342857",NA,NA,NA,NA,NA
"1089","85.01367914","102.782126328947",NA,NA,"115.30541235",NA,NA,NA,NA,NA
"1090","87.49754939","102.115228257895",NA,NA,"114.801154357143",NA,NA,NA,NA,NA
"1091","90.04669871","101.448330186842",NA,NA,"114.296896364286",NA,NA,NA,NA,NA
"1092","91.5925979","100.78143211579",NA,NA,"113.792638371429",NA,NA,NA,NA,NA
"1093","89.89226928","100.114534044737",NA,NA,"113.288380378572",NA,NA,NA,NA,NA
"1094","93.79615254","99.4476359736844",NA,NA,"112.784122385715",NA,NA,NA,NA,NA
"1095","91.78103565","98.7807379026317",NA,NA,"112.279864392857",NA,NA,NA,NA,NA
"1096","91.03135126","98.1138398315791",NA,NA,"111.7756064",NA,NA,NA,NA,NA
"1097","84.96172912","97.4469417605265",NA,NA,"111.271348407143",NA,NA,NA,NA,NA
"1098","86.2387946","96.7800436894738",NA,NA,"110.767090414286",NA,NA,NA,NA,NA
"1099","84.91085915","96.1131456184212",NA,NA,"110.262832421429",NA,NA,NA,NA,NA
"1100","85.66435026","95.4462475473686",NA,NA,"109.758574428572",NA,NA,NA,NA,NA
"1101","85.64902864","94.779349476316",NA,NA,"109.254316435715",NA,NA,NA,NA,NA
"1102","86.97705669","94.1124514052633",NA,NA,"108.750058442857",NA,NA,NA,NA,NA
"1103","88.15173057","93.4455533342107",NA,NA,"108.24580045",NA,NA,NA,NA,NA
"1104","90.16609223","92.7786552631581",NA,NA,"107.741542457143",NA,NA,NA,NA,NA
"1105","89.98398597","92.1117571921054",NA,NA,"107.237284464286",NA,NA,NA,NA,NA
"1106","88.16527586","91.4448591210528",NA,NA,"106.733026471429",NA,NA,NA,NA,NA
"1107","92.7458422","90.7779610500002",NA,"Upcross","106.228768478572",NA,NA,NA,NA,NA
"1108","93.29869725","90.1110629789476",NA,NA,"105.724510485714",NA,NA,NA,NA,NA
"1109","96.65955289","89.4441649078949","END",NA,"105.220252492857",NA,NA,NA,NA,NA
"1110","98.02441993","98.02441993","START",NA,"104.7159945",NA,NA,NA,NA,NA
"1111","96.56801783","98.288686641875",NA,NA,"104.211736507143",NA,NA,NA,NA,NA
"1112","96.07453068","98.55295335375",NA,NA,"103.707478514286",NA,NA,NA,NA,NA
"1113","95.50670953","98.817220065625",NA,NA,"103.203220521429",NA,NA,NA,NA,NA
"1114","96.36548217","99.0814867775",NA,NA,"102.698962528572",NA,NA,NA,NA,NA
"1115","97.52713384","99.345753489375",NA,NA,"102.194704535714",NA,NA,NA,NA,NA
"1116","97.6712066","99.61002020125",NA,NA,"101.690446542857",NA,NA,NA,NA,NA
"1117","97.0542069","99.874286913125",NA,NA,"101.18618855",NA,NA,NA,NA,NA
"1118","94.25727177","100.138553625",NA,NA,"100.681930557143",NA,NA,NA,NA,NA
"1119","92.47277674","100.402820336875",NA,NA,"100.177672564286",NA,NA,NA,NA,NA
"1120","93.29355289","100.66708704875",NA,NA,"99.6734145714287",NA,NA,NA,NA,NA
"1121","94.27131239","100.931353760625",NA,NA,"99.1691565785715",NA,NA,NA,NA,NA
"1122","95.44647078","101.1956204725",NA,NA,"98.6648985857144",NA,NA,NA,NA,NA
"1123","97.75907508","101.459887184375",NA,NA,"98.1606405928572",NA,NA,NA,NA,NA
"1124","99.12128755","101.72415389625",NA,NA,"97.6563826000001",NA,"Upcross",NA,NA,NA
"1125","98.10633314","101.988420608125",NA,NA,"97.152124607143",NA,NA,NA,NA,NA
"1126","98.29096026","102.25268732",NA,NA,"96.6478666142858",NA,NA,NA,NA,NA
"1127","99.63050438","102.516954031875",NA,NA,"96.1436086214287",NA,NA,NA,NA,NA
"1128","99.17803974","102.78122074375",NA,NA,"95.6393506285715",NA,NA,NA,NA,NA
"1129","102.7840123","103.045487455625",NA,NA,"95.1350926357144",NA,NA,NA,NA,NA
"1130","104.500211","103.3097541675",NA,"Upcross","94.6308346428572",NA,NA,NA,NA,NA
"1131","110.8016037","103.574020879375",NA,NA,"94.1265766500001",NA,NA,NA,NA,NA
"1132","109.5232168","103.83828759125",NA,NA,"93.6223186571429",NA,NA,NA,NA,NA
"1133","107.6975716","104.102554303125",NA,NA,"93.1180606642858",NA,NA,NA,NA,NA
"1134","108.882675","104.366821015",NA,NA,"92.6138026714286",NA,NA,NA,NA,NA
"1135","113.0825634","104.631087726875",NA,NA,"92.1095446785715",NA,NA,NA,NA,NA
"1136","112.1181148","104.89535443875",NA,NA,"91.6052866857143",NA,NA,NA,NA,NA
"1137","117.7597908","105.159621150625",NA,NA,"91.1010286928572",NA,NA,NA,NA,NA
"1138","118.3174144","105.4238878625",NA,NA,"90.5967707",NA,NA,NA,NA,NA
"1139","118.8356382","105.688154574375",NA,NA,"90.0925127071429",NA,NA,NA,NA,NA
"1140","124.8853796","105.95242128625",NA,NA,"89.5882547142857",NA,NA,NA,NA,NA
"1141","128.377979","106.216687998125","END",NA,"89.0839967214286",NA,NA,NA,NA,NA
"1142","130.536372","130.536372","START",NA,"88.5797387285714",NA,NA,NA,NA,NA
"1143","129.5653717","131.552370502188",NA,NA,"88.0754807357143",NA,NA,NA,NA,NA
"1144","129.1828036","132.568369004375",NA,NA,"87.5712227428571",NA,NA,NA,NA,NA
"1145","122.5292387","133.584367506563",NA,NA,"87.06696475",NA,NA,NA,NA,NA
"1146","122.370085","134.60036600875",NA,NA,"86.5627067571428",NA,NA,NA,NA,NA
"1147","117.8611464","135.616364510938",NA,NA,"86.0584487642857",NA,NA,NA,NA,NA
"1148","119.8149895","136.632363013125",NA,NA,"85.5541907714285",NA,NA,NA,NA,NA
"1149","118.0573863","137.648361515313",NA,NA,"85.0499327785714",NA,NA,NA,NA,NA
"1150","121.2592726","138.6643600175",NA,NA,"84.5456747857142",NA,NA,NA,NA,NA
"1151","122.2155302","139.680358519688",NA,NA,"84.0414167928571",NA,NA,NA,NA,NA
"1152","127.0882271","140.696357021875",NA,NA,"83.5371587999999",NA,NA,NA,NA,NA
"1153","126.7807236","141.712355524063",NA,NA,"83.0329008071428",NA,NA,NA,NA,NA
"1154","127.4077452","142.72835402625",NA,NA,"82.5286428142856",NA,NA,NA,NA,NA
"1155","124.3484775","143.744352528438",NA,NA,"82.0243848214285",NA,NA,NA,NA,NA
"1156","125.0764179","144.760351030625",NA,NA,"81.5201268285713",NA,NA,NA,NA,NA
"1157","126.204666","145.776349532813",NA,NA,"81.0158688357142",NA,NA,NA,NA,NA
"1158","126.8972501","146.792348035",NA,NA,"80.5116108428571",NA,NA,NA,NA,NA
"1159","126.9038194","147.808346537188",NA,NA,"80.0073528499999",NA,NA,NA,NA,NA
"1160","124.1809573","148.824345039375",NA,NA,"79.5030948571428",NA,NA,NA,NA,NA
"1161","122.9216359","149.840343541563",NA,NA,"78.9988368642856",NA,NA,NA,NA,NA
"1162","123.5082569","150.85634204375",NA,NA,"78.4945788714285",NA,NA,NA,NA,NA
"1163","123.1249351","151.872340545938",NA,NA,"77.9903208785713",NA,NA,NA,NA,NA
"1164","122.865699","152.888339048125",NA,NA,"77.4860628857142",NA,NA,NA,NA,NA
"1165","123.7973577","153.904337550313",NA,NA,"76.981804892857",NA,NA,NA,NA,NA
"1166","123.6140786","154.9203360525",NA,NA,"76.4775468999999",NA,NA,NA,NA,NA
"1167","124.6856745","155.936334554688",NA,NA,"75.9732889071427",NA,NA,NA,NA,NA
"1168","126.6053477","156.952333056875",NA,NA,"75.4690309142856",NA,NA,NA,NA,NA
"1169","126.7965517","157.968331559063",NA,NA,"74.9647729214284",NA,NA,NA,NA,NA
"1170","127.1086277","158.98433006125",NA,NA,"74.4605149285713",NA,NA,NA,NA,NA
"1171","126.0902618","160.000328563438","END",NA,"73.9562569357141",NA,NA,NA,NA,NA
"1172","127.5754243","127.5754243","START",NA,"73.451998942857",NA,NA,NA,NA,NA
"1173","104.1050929","127.476726043333",NA,NA,"72.9477409499998",NA,NA,NA,NA,NA
"1174","117.575495","127.378027786667",NA,NA,"72.4434829571427",NA,NA,NA,NA,NA
"1175","121.9303477","127.27932953",NA,NA,"71.9392249642855",NA,NA,NA,NA,NA
"1176","121.3934027","127.180631273333",NA,NA,"71.4349669714284",NA,NA,NA,NA,NA
"1177","122.4752613","127.081933016667",NA,NA,"70.9307089785712",NA,NA,NA,NA,NA
"1178","123.9068726","126.98323476",NA,NA,"70.4264509857141",NA,NA,NA,NA,NA
"1179","124.7665289","126.884536503333",NA,NA,"69.9221929928569",NA,NA,NA,NA,NA
"1180","125.9335203","126.785838246667",NA,NA,"69.4179349999998",NA,NA,NA,NA,NA
"1181","126.7046505","126.68713999",NA,"Upcross","68.9136770071426",NA,NA,NA,NA,NA
"1182","127.2552992","126.588441733333",NA,NA,"68.4094190142855",NA,NA,NA,NA,NA
"1183","127.851263","126.489743476667",NA,NA,"67.9051610214283",NA,NA,NA,NA,NA
"1184","132.4156587","126.39104522",NA,NA,"67.4009030285712",NA,NA,NA,NA,NA
"1185","135.3391949","126.292346963333",NA,NA,"66.896645035714",NA,NA,NA,NA,NA
"1186","141.4939085","126.193648706667",NA,NA,"66.3923870428569",NA,NA,NA,NA,NA
"1187","138.3279219","126.09495045",NA,NA,"65.8881290499997",NA,NA,NA,NA,NA
"1188","143.7471338","125.996252193333",NA,NA,"65.3838710571426",NA,NA,NA,NA,NA
"1189","152.7755722","125.897553936667",NA,NA,"64.8796130642855",NA,NA,NA,NA,NA
"1190","165.7727171","125.79885568",NA,NA,"64.3753550714283",NA,NA,NA,NA,NA
"1191","166.5001511","125.700157423333",NA,NA,"63.8710970785712",NA,NA,NA,NA,NA
"1192","179.9106286","125.601459166667",NA,NA,"63.366839085714",NA,NA,NA,NA,NA
"1193","190.4027814","125.50276091",NA,NA,"62.8625810928569",NA,NA,NA,NA,NA
"1194","204.600351","125.404062653333",NA,NA,"62.3583230999997",NA,NA,NA,NA,NA
"1195","194.4100438","125.305364396667",NA,NA,"61.8540651071426",NA,NA,NA,NA,NA
"1196","185.6437876","125.20666614",NA,NA,"61.3498071142854",NA,NA,NA,NA,NA
"1197","179.808218","125.107967883333",NA,NA,"60.8455491214283",NA,NA,NA,NA,NA
"1198","194.5461333","125.009269626667",NA,NA,"60.3412911285711",NA,NA,NA,NA,NA
"1199","196.2746873","124.91057137",NA,NA,"59.837033135714",NA,NA,NA,NA,NA
"1200","204.4281742","124.811873113333",NA,NA,"59.3327751428568",NA,NA,NA,NA,NA
"1201","197.9005994","124.713174856667",NA,NA,"58.8285171499997",NA,NA,NA,NA,NA
"1202","203.2836499","124.6144766",NA,NA,"58.3242591571425",NA,NA,NA,NA,NA
"1203","203.0371098","124.515778343333",NA,NA,"57.8200011642854",NA,NA,NA,NA,NA
"1204","204.7928814","124.417080086667",NA,NA,"57.3157431714282",NA,NA,NA,NA,NA
"1205","210.2753826","124.31838183",NA,NA,"56.8114851785711",NA,NA,NA,NA,NA
"1206","228.7910389","124.219683573333",NA,NA,"56.3072271857139",NA,NA,NA,NA,NA
"1207","243.6416689","124.120985316667",NA,NA,"55.8029691928568",NA,NA,NA,NA,NA
"1208","263.209584","124.02228706",NA,NA,"55.2987111999996",NA,NA,NA,NA,NA
"1209","290.1242262","123.923588803333",NA,NA,"54.7944532071425",NA,NA,NA,NA,NA
"1210","333.7506565","123.824890546667",NA,NA,"54.2901952142853",NA,NA,NA,NA,NA
"1211","331.0511485","123.72619229",NA,NA,"53.7859372214282",NA,NA,NA,NA,NA
"1212","327.5586535","123.627494033333",NA,NA,"53.281679228571",NA,NA,NA,NA,NA
"1213","342.6976929","123.528795776667",NA,NA,"52.7774212357139",NA,NA,NA,NA,NA
"1214","354.6454883","123.43009752",NA,NA,"52.2731632428567",NA,NA,NA,NA,NA
"1215","394.5044952","123.331399263333",NA,NA,"51.7689052499996",NA,NA,NA,NA,NA
"1216","416.7063033","123.232701006667",NA,NA,"51.2646472571424",NA,NA,NA,NA,NA
"1217","408.3987973","123.13400275",NA,NA,"50.7603892642853",NA,NA,NA,NA,NA
"1218","435.7984428","123.035304493333",NA,NA,"50.2561312714281",NA,NA,NA,NA,NA
"1219","485.3365769","122.936606236667",NA,NA,"49.751873278571",NA,NA,NA,NA,NA
"1220","657.7785039","122.83790798",NA,NA,"49.2476152857138",NA,NA,NA,NA,NA
"1221","546.8783973","122.739209723333",NA,NA,"48.7433572928567",NA,NA,NA,NA,NA
"1222","595.3390996","122.640511466667",NA,NA,"48.2390992999996",NA,NA,NA,NA,NA
"1223","720.7644253","122.54181321",NA,NA,"47.7348413071424",NA,NA,NA,NA,NA
"1224","802.9169337","122.443114953333",NA,NA,"47.2305833142853",NA,NA,NA,NA,NA
"1225","834.29534","122.344416696667",NA,NA,"46.7263253214281",NA,NA,NA,NA,NA
"1226","807.1666955","122.24571844",NA,NA,"46.222067328571",NA,NA,NA,NA,NA
"1227","816.2433866","122.147020183333",NA,NA,"45.7178093357138",NA,NA,NA,NA,NA
"1228","916.0971601","122.048321926667",NA,NA,"45.2135513428567",NA,NA,NA,NA,NA
"1229","962.9105609","121.94962367",NA,NA,"44.7092933499995",NA,NA,NA,NA,NA
"1230","1007.387164","121.850925413333",NA,NA,"44.2050353571424",NA,NA,NA,NA,NA
"1231","1128.725488","121.752227156667",NA,NA,"43.7007773642852",NA,NA,NA,NA,NA
"1232","1119.296715","121.6535289",NA,NA,"43.1965193714281",NA,NA,NA,NA,NA
"1233","964.4857937","121.554830643333",NA,NA,"42.6922613785709",NA,NA,NA,NA,NA
"1234","1040.808218","121.456132386667",NA,NA,"42.1880033857138",NA,NA,NA,NA,NA
"1235","1053.621027","121.35743413",NA,NA,"41.6837453928566","END",NA,NA,"END",NA
"1236","1134.932231","121.258735873333",NA,NA,"1134.932231","START",NA,"1134.932231","START",NA
"1237","1027.411773","121.160037616667",NA,NA,"1136.1735796",NA,NA,"1136.1735796",NA,NA
"1238","824.5817103","121.06133936",NA,NA,"1137.4149282",NA,NA,"1137.4149282",NA,NA
"1239","703.748376","120.962641103333",NA,NA,"1138.6562768",NA,NA,"1138.6562768",NA,NA
"1240","783.5733483","120.863942846667",NA,NA,"1139.8976254",NA,NA,"1139.8976254",NA,NA
"1241","896.0792899","120.76524459",NA,NA,"1141.138974",NA,NA,"1141.138974",NA,NA
"1242","977.1653673","120.666546333333",NA,NA,"1142.3803226",NA,NA,"1142.3803226",NA,NA
"1243","875.4640343","120.567848076667",NA,NA,"1143.6216712",NA,NA,"1143.6216712",NA,NA
"1244","873.324806","120.46914982",NA,NA,"1144.8630198",NA,NA,"1144.8630198",NA,NA
"1245","879.1561353","120.370451563333",NA,NA,"1146.1043684",NA,NA,"1146.1043684",NA,NA
"1246","852.8561205","120.271753306667",NA,NA,"1147.345717",NA,NA,"1147.345717",NA,NA
"1247","864.0616579","120.17305505",NA,NA,"1148.5870656",NA,NA,"1148.5870656",NA,NA
"1248","677.8941068","120.074356793333",NA,NA,"1149.8284142",NA,NA,"1149.8284142",NA,NA
"1249","682.6267727","119.975658536667",NA,NA,"1151.0697628",NA,NA,"1151.0697628",NA,NA
"1250","526.1209763","119.87696028",NA,NA,"1152.3111114",NA,NA,"1152.3111114",NA,NA
"1251","685.525129","119.778262023333",NA,NA,"1153.55246",NA,NA,"1153.55246",NA,NA
"1252","600.2169543","119.679563766667",NA,NA,"1154.7938086",NA,NA,"1154.7938086",NA,NA
"1253","597.0335025","119.58086551",NA,NA,"1156.0351572",NA,NA,"1156.0351572",NA,NA
"1254","615.0130353","119.482167253333",NA,NA,"1157.2765058",NA,NA,"1157.2765058",NA,NA
"1255","657.9266342","119.383468996667",NA,NA,"1158.5178544",NA,NA,"1158.5178544",NA,NA
"1256","650.6647452","119.28477074",NA,NA,"1159.759203",NA,NA,"1159.759203",NA,NA
"1257","678.2901581","119.186072483333",NA,NA,"1161.0005516",NA,NA,"1161.0005516",NA,NA
"1258","749.996595","119.087374226667",NA,NA,"1162.2419002",NA,NA,"1162.2419002",NA,NA
"1259","722.5705675","118.98867597",NA,NA,"1163.4832488",NA,NA,"1163.4832488",NA,NA
"1260","715.8523631","118.889977713333",NA,NA,"1164.7245974",NA,NA,"1164.7245974",NA,NA
"1261","727.2712157","118.791279456667",NA,NA,"1165.965946",NA,NA,"1165.965946",NA,NA
"1262","735.7419971","118.6925812",NA,NA,"1167.2072946",NA,NA,"1167.2072946",NA,NA
"1263","729.5575829","118.593882943333",NA,NA,"1168.4486432",NA,NA,"1168.4486432",NA,NA
"1264","752.4045499","118.495184686667",NA,NA,"1169.6899918",NA,NA,"1169.6899918",NA,NA
"1265","784.9549213","118.39648643",NA,NA,"1170.9313404",NA,NA,"1170.9313404",NA,NA
"1266","807.222939","118.297788173333",NA,NA,"1172.172689",NA,NA,"1172.172689",NA,NA
"1267","828.6020626","118.199089916667",NA,NA,"1173.4140376",NA,NA,"1173.4140376",NA,NA
"1268","902.4873803","118.10039166",NA,NA,"1174.6553862",NA,NA,"1174.6553862",NA,NA
"1269","914.4599608","118.001693403333",NA,NA,"1175.8967348",NA,NA,"1175.8967348",NA,NA
"1270","803.3517962","117.902995146667",NA,NA,"1177.1380834",NA,NA,"1177.1380834",NA,NA
"1271","820.6900095","117.80429689",NA,NA,"1178.379432",NA,NA,"1178.379432",NA,NA
"1272","831.3347505","117.705598633333",NA,NA,"1179.6207806",NA,NA,"1179.6207806",NA,NA
"1273","853.2988548","117.606900376667",NA,NA,"1180.8621292",NA,NA,"1180.8621292",NA,NA
"1274","889.5558371","117.50820212",NA,NA,"1182.1034778",NA,NA,"1182.1034778",NA,NA
"1275","845.1913322","117.409503863333",NA,NA,"1183.3448264",NA,NA,"1183.3448264",NA,NA
"1276","822.8770122","117.310805606667",NA,NA,"1184.586175",NA,NA,"1184.586175",NA,NA
"1277","815.2936027","117.21210735",NA,NA,"1185.8275236",NA,NA,"1185.8275236",NA,NA
"1278","841.0898574","117.113409093333",NA,NA,"1187.0688722",NA,NA,"1187.0688722",NA,NA
"1279","815.8548003","117.014710836667",NA,NA,"1188.3102208",NA,NA,"1188.3102208",NA,NA
"1280","792.8295065","116.91601258",NA,NA,"1189.5515694",NA,NA,"1189.5515694",NA,NA
"1281","809.7835284","116.817314323333",NA,NA,"1190.792918",NA,NA,"1190.792918",NA,NA
"1282","838.4284747","116.718616066667",NA,NA,"1192.0342666",NA,NA,"1192.0342666",NA,NA
"1283","828.8852166","116.61991781",NA,NA,"1193.2756152",NA,NA,"1193.2756152",NA,NA
"1284","823.8179638","116.521219553333",NA,NA,"1194.5169638",NA,NA,"1194.5169638",NA,NA
"1285","818.9763863","116.422521296667",NA,NA,"1195.7583124",NA,NA,"1195.7583124",NA,NA
"1286","810.9224252","116.32382304",NA,NA,"1196.999661",NA,NA,"1196.999661",NA,NA
"1287","781.042514","116.225124783333",NA,NA,"1198.2410096",NA,NA,"1198.2410096",NA,NA
"1288","804.4032408","116.126426526667",NA,NA,"1199.4823582",NA,NA,"1199.4823582",NA,NA
"1289","814.4993814","116.02772827",NA,NA,"1200.7237068",NA,NA,"1200.7237068",NA,NA
"1290","742.701375","115.929030013333",NA,NA,"1201.9650554",NA,NA,"1201.9650554",NA,NA
"1291","790.1764019","115.830331756667",NA,NA,"1203.206404",NA,NA,"1203.206404",NA,NA
"1292","793.3844249","115.7316335",NA,NA,"1204.4477526",NA,NA,"1204.4477526",NA,NA
"1293","799.4744798","115.632935243333",NA,NA,"1205.6891012",NA,NA,"1205.6891012",NA,NA
"1294","803.2375988","115.534236986667",NA,NA,"1206.9304498",NA,NA,"1206.9304498",NA,NA
"1295","813.2195492","115.43553873","END",NA,"1208.1717984","END",NA,"1208.1717984",NA,NA
"1296","814.4908704","814.4908704","START",NA,"814.4908704","START",NA,"1209.413147",NA,NA
"1297","806.9974284","810.788311496296",NA,NA,"809.150181056667",NA,NA,"1210.6544956",NA,NA
"1298","800.0782319","807.085752592593",NA,NA,"803.809491713333",NA,NA,"1211.8958442",NA,NA
"1299","784.4736928","803.383193688889",NA,NA,"798.46880237",NA,NA,"1213.1371928",NA,NA
"1300","763.5693822","799.680634785185",NA,NA,"793.128113026667",NA,NA,"1214.3785414",NA,NA
"1301","711.5712734","795.978075881482",NA,NA,"787.787423683333",NA,NA,"1215.61989",NA,NA
"1302","677.6823009","792.275516977778",NA,NA,"782.44673434",NA,NA,"1216.8612386",NA,NA
"1303","687.4060546","788.572958074074",NA,NA,"777.106044996667",NA,NA,"1218.1025872",NA,NA
"1304","685.4574988","784.870399170371",NA,NA,"771.765355653333",NA,NA,"1219.3439358",NA,NA
"1305","671.8996917","781.167840266667",NA,NA,"766.42466631",NA,NA,"1220.5852844",NA,NA
"1306","653.7657809","777.465281362963",NA,NA,"761.083976966667",NA,NA,"1221.826633",NA,NA
"1307","612.918415","773.76272245926",NA,NA,"755.743287623333",NA,NA,"1223.0679816",NA,NA
"1308","668.7886027","770.060163555556",NA,NA,"750.40259828",NA,NA,"1224.3093302",NA,NA
"1309","654.3770602","766.357604651852",NA,NA,"745.061908936667",NA,NA,"1225.5506788",NA,NA
