"","CP","VTL20days","start_end_20","Upcross20","VTL80days","start_end_80","Upcross80","VTL360days","start_end_360","Upcross360"
"88","0.104865589","0.0609847834",NA,NA,NA,NA,NA,NA,NA,NA
"89","0.102","0.06090240585",NA,NA,NA,NA,NA,NA,NA,NA
"90","0.105","0.0608200283",NA,NA,NA,NA,NA,NA,NA,NA
"91","0.101","0.06073765075",NA,NA,NA,NA,NA,NA,NA,NA
"92","0.102","0.0606552732",NA,NA,NA,NA,NA,NA,NA,NA
"93","0.1024","0.06057289565",NA,NA,NA,NA,NA,NA,NA,NA
"94","0.097544892","0.0604905181",NA,NA,NA,NA,NA,NA,NA,NA
"95","0.099","0.06040814055",NA,NA,NA,NA,NA,NA,NA,NA
"96","0.107","0.060325763",NA,NA,NA,NA,NA,NA,NA,NA
"97","0.1025","0.06024338545",NA,NA,NA,NA,NA,NA,NA,NA
"98","0.104556424","0.0601610079",NA,NA,NA,NA,NA,NA,NA,NA
"99","0.11501","0.06007863035",NA,NA,NA,NA,NA,NA,NA,NA
"100","0.139118553","0.0599962528",NA,NA,NA,NA,NA,NA,NA,NA
"101","0.151","0.05991387525",NA,NA,NA,NA,NA,NA,NA,NA
"102","0.1877","0.0598314977",NA,NA,NA,NA,NA,NA,NA,NA
"103","0.1731","0.05974912015",NA,NA,NA,NA,NA,NA,NA,NA
"104","0.19","0.0596667426",NA,NA,NA,NA,NA,NA,NA,NA
"105","0.197610544","0.05958436505",NA,NA,NA,NA,NA,NA,NA,NA
"106","0.1925","0.0595019875",NA,NA,NA,NA,NA,NA,NA,NA
"107","0.194525061","0.05941960995",NA,NA,NA,NA,NA,NA,NA,NA
"108","0.1938","0.0593372324000001",NA,NA,NA,NA,NA,NA,NA,NA
"109","0.1931","0.0592548548500001",NA,NA,NA,NA,NA,NA,NA,NA
"110","0.229275161","0.0591724773000001",NA,NA,NA,NA,NA,NA,NA,NA
"111","0.259112414","0.0590900997500001","END",NA,NA,NA,NA,NA,NA,NA
"112","0.400982303","0.400982303","START",NA,NA,NA,NA,NA,NA,NA
"113","0.34","0.407920717346939",NA,NA,NA,NA,NA,NA,NA,NA
"114","0.243184629","0.414859131693878",NA,NA,NA,NA,NA,NA,NA,NA
"115","0.217272694","0.421797546040816",NA,NA,NA,NA,NA,NA,NA,NA
"116","0.229549731","0.428735960387755",NA,NA,NA,NA,NA,NA,NA,NA
"117","0.2231","0.435674374734694",NA,NA,NA,NA,NA,NA,NA,NA
"118","0.2682","0.442612789081633",NA,NA,NA,NA,NA,NA,NA,NA
"119","0.276","0.449551203428571",NA,NA,NA,NA,NA,NA,NA,NA
"120","0.27904","0.45648961777551",NA,NA,NA,NA,NA,NA,NA,NA
"121","0.268464556","0.463428032122449",NA,NA,NA,NA,NA,NA,NA,NA
"122","0.225","0.470366446469388",NA,NA,NA,NA,NA,NA,NA,NA
"123","0.241939334","0.477304860816326",NA,NA,NA,NA,NA,NA,NA,NA
"124","0.269057791","0.484243275163265",NA,NA,NA,NA,NA,NA,NA,NA
"125","0.27829","0.491181689510204",NA,NA,NA,NA,NA,NA,NA,NA
"126","0.283015965","0.498120103857143",NA,NA,NA,NA,NA,NA,NA,NA
"127","0.27675","0.505058518204081",NA,NA,NA,NA,NA,NA,NA,NA
"128","0.285","0.51199693255102",NA,NA,NA,NA,NA,NA,NA,NA
"129","0.28295","0.518935346897959",NA,NA,NA,NA,NA,NA,NA,NA
"130","0.282905736","0.525873761244898",NA,NA,NA,NA,NA,NA,NA,NA
"131","0.28","0.532812175591837",NA,NA,NA,NA,NA,NA,NA,NA
"132","0.2844","0.539750589938776",NA,NA,NA,NA,NA,NA,NA,NA
"133","0.283","0.546689004285715",NA,NA,NA,NA,NA,NA,NA,NA
"134","0.271358679","0.553627418632654",NA,NA,NA,NA,NA,NA,NA,NA
"135","0.230559456","0.560565832979592",NA,NA,NA,NA,NA,NA,NA,NA
"136","0.2082","0.567504247326531",NA,NA,NA,NA,NA,NA,NA,NA
"137","0.2275","0.57444266167347",NA,NA,NA,NA,NA,NA,NA,NA
"138","0.255","0.581381076020409",NA,NA,NA,NA,NA,NA,NA,NA
"139","0.251060084","0.588319490367348",NA,NA,NA,NA,NA,NA,NA,NA
"140","0.205000526","0.595257904714287",NA,NA,NA,NA,NA,NA,NA,NA
"141","0.202850018","0.602196319061226",NA,NA,NA,NA,NA,NA,NA,NA
"142","0.204","0.609134733408164",NA,NA,NA,NA,NA,NA,NA,NA
"143","0.233420386","0.616073147755103","END",NA,NA,NA,NA,NA,NA,NA
"144","0.2388","0.2388","START",NA,NA,NA,NA,NA,NA,NA
"145","0.199991694","0.23373180303125",NA,NA,NA,NA,NA,NA,NA,NA
"146","0.204","0.2286636060625",NA,NA,NA,NA,NA,NA,NA,NA
"147","0.228","0.22359540909375",NA,"Upcross",NA,NA,NA,NA,NA,NA
"148","0.219853612","0.218527212125",NA,NA,NA,NA,NA,NA,NA,NA
"149","0.227605237","0.21345901515625",NA,NA,NA,NA,NA,NA,NA,NA
"150","0.24669","0.2083908181875",NA,NA,NA,NA,NA,NA,NA,NA
"151","0.24","0.20332262121875",NA,NA,NA,NA,NA,NA,NA,NA
"152","0.24996","0.19825442425",NA,NA,NA,NA,NA,NA,NA,NA
"153","0.242655815","0.19318622728125",NA,NA,NA,NA,NA,NA,NA,NA
"154","0.241","0.1881180303125",NA,NA,NA,NA,NA,NA,NA,NA
"155","0.2401","0.18304983334375",NA,NA,NA,NA,NA,NA,NA,NA
"156","0.267","0.177981636375",NA,NA,NA,NA,NA,NA,NA,NA
"157","0.241436002","0.17291343940625",NA,NA,NA,NA,NA,NA,NA,NA
"158","0.25","0.1678452424375",NA,NA,NA,NA,NA,NA,NA,NA
"159","0.249970128","0.16277704546875",NA,NA,NA,NA,NA,NA,NA,NA
"160","0.248","0.1577088485",NA,NA,NA,NA,NA,NA,NA,NA
"161","0.2499","0.15264065153125",NA,NA,NA,NA,NA,NA,NA,NA
"162","0.264962127","0.1475724545625",NA,NA,NA,NA,NA,NA,NA,NA
"163","0.264785389","0.14250425759375",NA,NA,NA,NA,NA,NA,NA,NA
"164","0.281","0.137436060625",NA,NA,NA,NA,NA,NA,NA,NA
"165","0.3","0.13236786365625",NA,NA,NA,NA,NA,NA,NA,NA
"166","0.3","0.1272996666875",NA,NA,NA,NA,NA,NA,NA,NA
"167","0.3","0.12223146971875",NA,NA,NA,NA,NA,NA,NA,NA
"168","0.3","0.11716327275",NA,NA,NA,NA,NA,NA,NA,NA
"169","0.29997","0.11209507578125",NA,NA,NA,NA,NA,NA,NA,NA
"170","0.295","0.1070268788125",NA,NA,NA,NA,NA,NA,NA,NA
"171","0.29895","0.10195868184375",NA,NA,NA,NA,NA,NA,NA,NA
"172","0.298916302","0.0968904848750002",NA,NA,NA,NA,NA,NA,NA,NA
"173","0.298","0.0918222879062502",NA,NA,NA,NA,NA,NA,NA,NA
"174","0.32","0.0867540909375002",NA,NA,NA,NA,NA,NA,NA,NA
"175","0.3229","0.0816858939687502",NA,NA,NA,NA,NA,NA,NA,NA
"176","0.323","0.0766176970000002",NA,NA,NA,NA,NA,NA,NA,NA
"177","0.32659","0.0715495000312502",NA,NA,NA,NA,NA,NA,NA,NA
"178","0.32659","0.0664813030625002",NA,NA,NA,NA,NA,NA,NA,NA
"179","0.318799621","0.0614131060937502",NA,NA,NA,NA,NA,NA,NA,NA
"180","0.3176","0.0563449091250002",NA,NA,NA,NA,NA,NA,NA,NA
"181","0.399990006","0.0512767121562502",NA,NA,NA,NA,NA,NA,NA,NA
"182","0.386","0.0462085151875002",NA,NA,NA,NA,NA,NA,NA,NA
"183","0.38679","0.0411403182187502",NA,NA,NA,NA,NA,NA,NA,NA
"184","0.3495","0.0360721212500002",NA,NA,NA,NA,NA,NA,NA,NA
"185","0.31299","0.0310039242812502",NA,NA,NA,NA,NA,NA,NA,NA
"186","0.31299","0.0259357273125002",NA,NA,NA,NA,NA,NA,NA,NA
"187","0.39","0.0208675303437502",NA,NA,NA,NA,NA,NA,NA,NA
"188","0.41991","0.0157993333750002",NA,NA,NA,NA,NA,NA,NA,NA
"189","0.440035529","0.0107311364062502",NA,NA,NA,NA,NA,NA,NA,NA
"190","0.4424","0.00566293943750021",NA,NA,NA,NA,NA,NA,NA,NA
"191","0.4199","0.000594742468750213",NA,NA,NA,NA,NA,NA,NA,NA
"192","0.41","-0.00447345449999979",NA,NA,NA,NA,NA,NA,NA,NA
"193","0.41508513","-0.00954165146874979",NA,NA,NA,NA,NA,NA,NA,NA
"194","0.4212","-0.0146098484374998",NA,NA,NA,NA,NA,NA,NA,NA
"195","0.444484044","-0.0196780454062498",NA,NA,NA,NA,NA,NA,NA,NA
"196","0.439","-0.0247462423749998",NA,NA,NA,NA,NA,NA,NA,NA
"197","0.477142034","-0.0298144393437498",NA,NA,NA,NA,NA,NA,NA,NA
"198","0.52513687","-0.0348826363124998",NA,NA,NA,NA,NA,NA,NA,NA
"199","0.707510117","-0.0399508332812498",NA,NA,NA,NA,NA,NA,NA,NA
"200","0.725434822","-0.0450190302499998",NA,NA,NA,NA,NA,NA,NA,NA
"201","0.693898368","-0.0500872272187498",NA,NA,NA,NA,NA,NA,NA,NA
"202","0.810958971","-0.0551554241874998",NA,NA,NA,NA,NA,NA,NA,NA
"203","0.911671477","-0.0602236211562498",NA,NA,NA,NA,NA,NA,NA,NA
"204","0.898","-0.0652918181249998",NA,NA,NA,NA,NA,NA,NA,NA
"205","0.88942137","-0.0703600150937498",NA,NA,NA,NA,NA,NA,NA,NA
"206","0.918","-0.0754282120624998",NA,NA,NA,NA,NA,NA,NA,NA
"207","1.016050245","-0.0804964090312498",NA,NA,NA,NA,NA,NA,NA,NA
"208","0.979652963","-0.0855646059999998",NA,NA,NA,NA,NA,NA,NA,NA
"209","1.054069454","-0.0906328029687498",NA,NA,NA,"END",NA,NA,NA,NA
"210","1.078703284","-0.0957009999374998",NA,NA,"1.078703284","START",NA,NA,NA,NA
"211","1.05","-0.10076919690625",NA,NA,"1.08561880421429",NA,NA,NA,NA,NA
"212","1.070012624","-0.105837393875",NA,NA,"1.09253432442857",NA,NA,NA,NA,NA
"213","1.05","-0.11090559084375",NA,NA,"1.09944984464286",NA,NA,NA,NA,NA
"214","1.031687629","-0.1159737878125",NA,NA,"1.10636536485714",NA,NA,NA,NA,NA
"215","1.039923198","-0.12104198478125",NA,NA,"1.11328088507143",NA,NA,NA,NA,NA
"216","0.898955915","-0.12611018175",NA,NA,"1.12019640528571",NA,NA,NA,NA,NA
"217","0.944028117","-0.13117837871875",NA,NA,"1.1271119255",NA,NA,NA,NA,NA
"218","0.865","-0.1362465756875",NA,NA,"1.13402744571429",NA,NA,NA,NA,NA
"219","0.835747428","-0.14131477265625",NA,NA,"1.14094296592857",NA,NA,NA,NA,NA
"220","0.87704178","-0.146382969625",NA,NA,"1.14785848614286",NA,NA,NA,NA,NA
"221","0.9","-0.15145116659375",NA,NA,"1.15477400635714",NA,NA,NA,NA,NA
"222","0.989095266","-0.1565193635625",NA,NA,"1.16168952657143",NA,NA,NA,NA,NA
"223","0.914652002","-0.16158756053125",NA,NA,"1.16860504678571",NA,NA,NA,NA,NA
"224","0.958","-0.1666557575",NA,NA,"1.175520567",NA,NA,NA,NA,NA
"225","0.895033115","-0.17172395446875",NA,NA,"1.18243608721428",NA,NA,NA,NA,NA
"226","0.860220923","-0.1767921514375",NA,NA,"1.18935160742857",NA,NA,NA,NA,NA
"227","0.921096892","-0.18186034840625",NA,NA,"1.19626712764286",NA,NA,NA,NA,NA
"228","0.9399","-0.186928545375",NA,NA,"1.20318264785714",NA,NA,NA,NA,NA
"229","0.939073383","-0.19199674234375",NA,NA,"1.21009816807143",NA,NA,NA,NA,NA
"230","0.9011","-0.1970649393125",NA,NA,"1.21701368828571",NA,NA,NA,NA,NA
"231","0.907840607","-0.20213313628125",NA,NA,"1.2239292085",NA,NA,NA,NA,NA
"232","0.884770973","-0.20720133325",NA,NA,"1.23084472871428",NA,NA,NA,NA,NA
"233","0.877583864","-0.21226953021875",NA,NA,"1.23776024892857",NA,NA,NA,NA,NA
"234","0.866071591","-0.2173377271875",NA,NA,"1.24467576914286",NA,NA,NA,NA,NA
"235","0.86","-0.22240592415625",NA,NA,"1.25159128935714",NA,NA,NA,NA,NA
"236","0.92067031","-0.227474121125",NA,NA,"1.25850680957143",NA,NA,NA,NA,NA
"237","0.88","-0.23254231809375","END",NA,"1.26542232978571",NA,NA,NA,NA,NA
"238","0.917815513","0.917815513","START",NA,"1.27233785",NA,NA,NA,NA,NA
"239","0.89249","0.911961777961538",NA,NA,"1.27925337021428",NA,NA,NA,NA,NA
"240","0.893924923","0.906108042923077",NA,NA,"1.28616889042857",NA,NA,NA,NA,NA
"241","0.87224","0.900254307884615",NA,NA,"1.29308441064286",NA,NA,NA,NA,NA
"242","0.851211666","0.894400572846154",NA,NA,"1.29999993085714",NA,NA,NA,NA,NA
"243","0.82542","0.888546837807692",NA,NA,"1.30691545107143",NA,NA,NA,NA,NA
"244","0.801959208","0.882693102769231",NA,NA,"1.31383097128571",NA,NA,NA,NA,NA
"245","0.765","0.876839367730769",NA,NA,"1.3207464915",NA,NA,NA,NA,NA
"246","0.7415","0.870985632692308",NA,NA,"1.32766201171428",NA,NA,NA,NA,NA
"247","0.75897","0.865131897653846",NA,NA,"1.33457753192857",NA,NA,NA,NA,NA
"248","0.809130293","0.859278162615385",NA,NA,"1.34149305214285",NA,NA,NA,NA,NA
"249","0.84971","0.853424427576923",NA,NA,"1.34840857235714",NA,NA,NA,NA,NA
"250","0.872374366","0.847570692538462","END","Upcross","1.35532409257143",NA,NA,NA,NA,NA
"251","0.88377","0.88377","START",NA,"1.36223961278571",NA,NA,NA,NA,NA
"252","0.8552","0.880138094275862",NA,NA,"1.369155133",NA,NA,NA,NA,NA
"253","0.822","0.876506188551724",NA,NA,"1.37607065321428",NA,NA,NA,NA,NA
"254","0.7947405","0.872874282827586",NA,NA,"1.38298617342857",NA,NA,NA,NA,NA
"255","0.792509942","0.869242377103448",NA,NA,"1.38990169364285",NA,NA,NA,NA,NA
"256","0.789706312","0.86561047137931",NA,NA,"1.39681721385714",NA,NA,NA,NA,NA
"257","0.78461","0.861978565655172",NA,NA,"1.40373273407143",NA,NA,NA,NA,NA
"258","0.77411","0.858346659931034",NA,NA,"1.41064825428571",NA,NA,NA,NA,NA
"259","0.78199","0.854714754206896",NA,NA,"1.4175637745",NA,NA,NA,NA,NA
"260","0.779","0.851082848482758",NA,NA,"1.42447929471428",NA,NA,NA,NA,NA
"261","0.68","0.84745094275862",NA,NA,"1.43139481492857",NA,NA,NA,NA,NA
"262","0.715691835","0.843819037034482",NA,NA,"1.43831033514285",NA,NA,NA,NA,NA
