"","CP","VTL20days","VTL80days","VTL360days"
"154",0.241,0.194807394,0.21928286971875,NA
"155",0.2401,0.194231360666667,0.2214263336875,NA
"156",0.267,0.193655327333333,0.22356979765625,NA
"157",0.241436002,0.193079294,0.225713261625,NA
"158",0.25,0.192503260666667,0.22785672559375,NA
"159",0.249970128,0.191927227333333,0.2300001895625,NA
"160",0.248,0.191351194,0.23214365353125,NA
"161",0.2499,0.190775160666667,0.2342871175,NA
"162",0.264962127,0.190199127333333,0.23643058146875,NA
"163",0.264785389,0.189623094,0.2385740454375,NA
"164",0.281,0.189047060666667,0.24071750940625,NA
"165",0.3,0.188471027333333,0.242860973375,NA
"166",0.3,0.187894994,0.24500443734375,NA
"167",0.3,0.187318960666667,0.2471479013125,NA
"168",0.3,0.186742927333333,0.24929136528125,NA
"169",0.29997,0.186166894,0.25143482925,NA
"170",0.295,0.185590860666667,0.25357829321875,NA
"171",0.29895,0.185014827333333,0.2557217571875,NA
"172",0.298916302,0.184438794,0.25786522115625,NA
"173",0.298,0.183862760666667,0.260008685125,NA
"174",0.32,0.183286727333333,0.26215214909375,NA
"175",0.3229,0.182710694,0.2642956130625,NA
"176",0.323,0.182134660666667,0.26643907703125,NA
"177",0.32659,0.181558627333333,0.268582541,NA
"178",0.32659,0.180982594,0.27072600496875,NA
"179",0.318799621,0.180406560666667,0.2728694689375,NA
"180",0.3176,0.179830527333333,0.27501293290625,NA
"181",0.399990006,0.179254494,0.277156396875,NA
"182",0.386,0.178678460666667,0.27929986084375,NA
"183",0.38679,0.178102427333333,0.2814433248125,NA
"184",0.3495,0.177526394,0.28358678878125,NA
"185",0.31299,0.176950360666667,0.28573025275,NA
"186",0.31299,0.176374327333333,0.28787371671875,NA
"187",0.39,0.175798294,0.2900171806875,NA
"188",0.41991,0.175222260666667,0.29216064465625,NA
"189",0.440035529,0.174646227333333,0.294304108625,NA
"190",0.4424,0.174070194,0.29644757259375,NA
"191",0.4199,0.173494160666667,0.2985910365625,NA
"192",0.41,0.172918127333333,0.30073450053125,NA
"193",0.41508513,0.172342094,0.3028779645,NA
"194",0.4212,0.171766060666666,0.30502142846875,NA
"195",0.444484044,0.171190027333333,0.3071648924375,NA
"196",0.439,0.170613994,0.30930835640625,NA
"197",0.477142034,0.170037960666666,0.311451820375,NA
"198",0.52513687,0.169461927333333,0.31359528434375,NA
"199",0.707510117,0.168885894,0.3157387483125,NA
"200",0.725434822,0.168309860666666,0.31788221228125,NA
"201",0.693898368,0.167733827333333,0.32002567625,NA
"202",0.810958971,0.167157794,0.32216914021875,NA
"203",0.911671477,0.166581760666666,0.3243126041875,NA
"204",0.898,0.166005727333333,0.32645606815625,NA
"205",0.88942137,0.165429694,0.328599532125,NA
"206",0.918,0.164853660666666,0.33074299609375,NA
"207",1.016050245,0.164277627333333,0.3328864600625,NA
"208",0.979652963,0.163701594,0.335029924031249,NA
"209",1.054069454,0.163125560666666,0.337173387999999,NA
"210",1.078703284,0.162549527333333,0.339316851968749,NA
"211",1.05,0.161973494,0.341460315937499,NA
"212",1.070012624,0.161397460666666,0.343603779906249,NA
"213",1.05,0.160821427333333,0.345747243874999,NA
"214",1.031687629,0.160245394,0.347890707843749,NA
"215",1.039923198,0.159669360666666,0.350034171812499,NA
"216",0.898955915,0.159093327333333,0.352177635781249,NA
"217",0.944028117,0.158517294,0.354321099749999,NA
"218",0.865,0.157941260666666,0.356464563718749,NA
"219",0.835747428,0.835747428,0.358608027687499,NA
"220",0.87704178,0.852997316173913,0.360751491656249,NA
"221",0.9,0.870247204347826,0.362894955624999,NA
"222",0.989095266,0.887497092521739,0.365038419593749,NA
"223",0.914652002,0.904746980695652,0.367181883562499,NA
"224",0.958,0.921996868869565,0.369325347531249,NA
"225",0.895033115,0.939246757043478,0.371468811499999,NA
"226",0.860220923,0.956496645217391,0.373612275468749,NA
"227",0.921096892,0.973746533391304,0.375755739437499,NA
"228",0.9399,0.990996421565217,0.377899203406249,NA
"229",0.939073383,1.00824630973913,0.380042667374999,NA
"230",0.9011,1.02549619791304,0.382186131343749,NA
"231",0.907840607,1.04274608608696,0.384329595312499,NA
"232",0.884770973,1.05999597426087,0.386473059281249,NA
"233",0.877583864,1.07724586243478,0.388616523249999,NA
"234",0.866071591,1.0944957506087,0.390759987218749,NA
"235",0.86,1.11174563878261,0.392903451187499,NA
"236",0.92067031,1.12899552695652,0.395046915156249,NA
"237",0.88,1.14624541513044,0.397190379124999,NA
"238",0.917815513,1.16349530330435,0.399333843093749,NA
"239",0.89249,1.18074519147826,0.401477307062499,NA
"240",0.893924923,1.19799507965218,0.403620771031249,NA
"241",0.87224,1.21524496782609,0.405764234999999,NA
"242",0.851211666,1.232494856,0.407907698968749,NA
"243",0.82542,1.24974474417391,0.410051162937499,NA
"244",0.801959208,1.26699463234783,0.412194626906249,NA
"245",0.765,1.28424452052174,0.414338090874999,NA
"246",0.7415,0.7415,0.416481554843749,NA
"247",0.75897,0.738009354518519,0.418625018812499,NA
"248",0.809130293,0.734518709037037,0.420768482781249,NA
"249",0.84971,0.731028063555556,0.422911946749999,NA
"250",0.872374366,0.727537418074074,0.425055410718749,NA
"251",0.88377,0.724046772592593,0.427198874687499,NA
"252",0.8552,0.720556127111111,0.429342338656249,NA
"253",0.822,0.71706548162963,0.431485802624999,NA
"254",0.7947405,0.713574836148148,0.433629266593749,NA
"255",0.792509942,0.710084190666667,0.435772730562499,NA
"256",0.789706312,0.706593545185185,0.437916194531249,NA
"257",0.78461,0.703102899703704,0.440059658499999,NA
"258",0.77411,0.699612254222222,0.442203122468749,NA
"259",0.78199,0.696121608740741,0.444346586437499,NA
"260",0.779,0.692630963259259,0.446490050406249,NA
"261",0.68,0.68,0.68,NA
"262",0.715691835,0.6759,0.684893466666667,NA
"263",0.74,0.6718,0.689786933333333,NA
"264",0.7538,0.6677,0.6946804,NA
"265",0.74999,0.6636,0.699573866666667,NA
"266",0.734060517,0.6595,0.704467333333333,NA
"267",0.733156821,0.6554,0.7093608,NA
"268",0.770113933,0.6513,0.714254266666667,NA
"269",0.861381608,0.6472,0.719147733333333,NA
"270",0.930320058,0.6431,0.7240412,NA
"271",0.998629766,0.639,0.728934666666667,NA
"272",0.983673137,0.6349,0.733828133333334,NA
"273",1.046632858,0.6308,0.7387216,NA
"274",1.098122098,0.6267,0.743615066666667,NA
"275",1.149433312,0.6226,0.748508533333334,NA
"276",1.185162221,0.6185,0.753402,NA
"277",1.142125985,0.6144,0.758295466666667,NA
"278",1.207338872,0.6103,0.763188933333334,NA
"279",1.404505082,0.6062,0.7680824,NA
"280",1.828852301,0.6021,0.772975866666667,NA
"281",1.63198422,0.598,0.777869333333334,NA
"282",1.564483635,0.5939,0.7827628,NA
"283",1.77084089,0.5898,0.787656266666667,NA
"284",1.903175959,0.5857,0.792549733333334,NA
"285",2.285744466,0.5816,0.7974432,NA
"286",2.85060509,0.5775,0.802336666666667,NA
"287",3.5,0.5734,0.807230133333334,NA
"288",3.094227553,0.5693,0.8121236,NA
"289",3.2,0.5652,0.817017066666667,NA
"290",3.360585704,0.5611,0.821910533333334,NA
"291",3.408673047,0.557,0.826804,NA
"292",3.343736684,0.5529,0.831697466666667,NA
"293",3.455075584,0.5488,0.836590933333334,NA
"294",3.641262978,0.5447,0.8414844,NA
"295",3.848668377,0.5406,0.846377866666667,NA
"296",3.804089582,0.5365,0.851271333333334,NA
"297",5.651667002,0.5324,0.856164800000001,NA
"298",5.439751044,0.5283,0.861058266666667,NA
"299",6.334878694,0.5242,0.865951733333334,NA
"300",8.139034867,0.5201,0.870845200000001,NA
"301",7.007243829,0.516,0.875738666666667,NA
"302",6.924924845,0.5119,0.880632133333334,NA
"303",7.885140745,0.5078,0.885525600000001,NA
"304",7.257199541,0.5037,0.890419066666667,NA
"305",6.763163362,0.4996,0.895312533333334,NA
"306",6.890143632,0.4955,0.900206000000001,NA
"307",5.618096219,5.618096219,0.905099466666667,NA
"308",6.084800667,5.78300591327273,0.909992933333334,NA
"309",6.71195604,5.94791560754545,0.914886400000001,NA
"310",7.065256784,6.11282530181818,0.919779866666667,NA
"311",7.402660582,6.27773499609091,0.924673333333334,NA
"312",8.569289637,6.44264469036364,0.929566800000001,NA
"313",8.782155434,6.60755438463636,0.934460266666667,NA
"314",8.528658468,6.77246407890909,0.939353733333334,NA
"315",8.34926912,6.93737377318182,0.944247200000001,NA
"316",8.400953472,7.10228346745454,0.949140666666667,NA
"317",8.779342465,7.26719316172727,0.954034133333334,NA
"318",8.721576422,7.432102856,0.958927600000001,NA
"319",9.623777232,7.59701255027272,0.963821066666667,NA
"320",10.70276023,7.76192224454545,0.968714533333334,NA
"321",14.26464677,7.92683193881818,0.973608000000001,NA
"322",18.31273873,8.09174163309091,0.978501466666667,NA
"323",16.5433424,8.25665132736363,0.983394933333334,NA
"324",18.40209864,8.42156102163636,0.988288400000001,NA
"325",23.23787846,8.58647071590909,0.993181866666668,NA
"326",29.02992133,8.75138041018182,0.998075333333334,NA
"327",28.79054402,8.91629010445455,1.0029688,NA
"328",24.04939923,9.08119979872727,1.00786226666667,NA
"329",14.74974663,14.74974663,14.74974663,NA
"330",18.85014473,15.2977621034545,15.2977621034545,NA
"331",19.54232911,15.8457775769091,15.8457775769091,NA
"332",19.25773551,16.3937930503636,16.3937930503636,NA
"333",19.46414262,16.9418085238182,16.9418085238182,NA
"334",17.92936254,17.4898239972727,17.4898239972727,NA
"335",15.43636891,18.0378394707273,18.0378394707273,NA
"336",16.87540454,18.5858549441818,18.5858549441818,NA
"337",17.51071679,19.1338704176364,19.1338704176364,NA
"338",17.51071679,19.6818858910909,19.6818858910909,NA
"339",17.51071679,20.2299013645454,20.2299013645454,NA
"340",17.51071679,20.777916838,20.777916838,NA
"341",17.51071679,21.3259323114545,21.3259323114545,NA
"342",17.51071679,21.8739477849091,21.8739477849091,NA
"343",17.51071679,22.4219632583636,22.4219632583636,NA
"344",16.36134202,22.9699787318182,22.9699787318182,NA
"345",16.75228581,23.5179942052727,23.5179942052727,NA
"346",16.96183531,24.0660096787273,24.0660096787273,NA
"347",16.85456832,24.6140251521818,24.6140251521818,NA
"348",16.18526278,25.1620406256363,25.1620406256363,NA
"349",15.4203574,25.7100560990909,25.7100560990909,NA
"350",15.38284407,26.2580715725454,26.2580715725454,NA
"351",15.45755056,26.806087046,26.806087046,NA
"352",13.85279681,27.3541025194545,27.3541025194545,NA
"353",12.96481771,12.96481771,27.9021179929091,NA
"354",14.71478358,12.8904456716667,28.4501334663636,NA
"355",14.79728916,12.8160736333333,28.9981489398182,NA
"356",14.2990377,12.741701595,29.5461644132727,NA
"357",14.38150067,12.6673295566667,30.0941798867272,NA
"358",14.62293755,12.5929575183333,30.6421953601818,NA
"359",14.31015543,12.51858548,31.1902108336363,NA
"360",14.02127262,12.4442134416667,31.7382263070909,NA
"361",13.97145452,12.3698414033333,32.2862417805454,NA
"362",13.99797455,12.295469365,32.834257254,NA
"363",13.80639041,12.2210973266667,33.3822727274545,NA
"364",13.7130793,12.1467252883333,33.9302882009091,NA
"365",13.25813531,13.25813531,34.4783036743636,NA
"366",13.63052125,13.2825784433333,35.0263191478182,NA
"367",13.82479484,13.3070215766667,35.5743346212727,NA
"368",13.67833059,13.33146471,36.1223500947273,NA
"369",13.61180844,13.3559078433333,36.6703655681818,NA
"370",13.69854733,13.3803509766667,37.2183810416364,NA
"371",13.68171834,13.40479411,37.7663965150909,NA
"372",13.99251518,13.4292372433333,38.3144119885455,NA
"373",14.03342538,13.4536803766667,38.862427462,NA
"374",13.87803232,13.47812351,39.4104429354545,NA
"375",13.87822476,13.5025666433333,39.9584584089091,NA
"376",13.49159108,13.5270097766667,40.5064738823636,NA
"377",13.51231639,13.55145291,41.0544893558182,NA
"378",13.54028067,13.5758960433333,41.6025048292727,NA
"379",13.3729061,13.6003391766667,42.1505203027273,NA
"380",13.01911385,13.62478231,42.6985357761818,NA
"381",12.21415644,13.6492254433333,43.2465512496364,NA
"382",9.286356914,13.6736685766667,43.7945667230909,NA
"383",10.76850375,13.69811171,44.3425821965455,NA
"384",9.73015396,13.7225548433333,44.89059767,NA
"385",6.964169736,6.964169736,45.4386131434546,NA
"386",8.501793292,6.61330913,45.9866286169091,NA
"387",7.775337638,6.262448524,46.5346440903637,NA
"388",9.802499481,5.911587918,47.0826595638182,NA
"389",10.05125313,5.560727312,47.6306750372728,NA
"390",9.438412995,5.209866706,48.1786905107273,NA
"391",9.452993285,4.8590061,48.7267059841819,NA
"392",10.00402474,4.508145494,49.2747214576364,NA
"393",10.80682077,4.157284888,49.822736931091,NA
"394",11.13069655,3.806424282,50.3707524045455,NA
"395",10.99196557,3.455563676,50.9187678780001,NA
"396",10.96396406,3.10470307,51.4667833514546,NA
"397",10.85847146,2.753842464,52.0147988249091,NA
"398",11.67047304,2.402981858,52.5628142983637,NA
"399",11.45973174,2.052121252,53.1108297718182,NA
"400",11.35448134,1.701260646,53.6588452452728,NA
"401",10.92089582,1.35040004,54.2068607187273,NA
"402",10.91724505,0.999539433999998,54.7548761921819,NA
"403",10.87044429,0.648678827999998,55.3028916656364,NA
