No,CP,Cycle20,Cycle80,Cycle320
208,0.979652963,  ,  ,  
209,1.054069454,  ,  ,  
210,1.078703284,HIGH,HIGH,  
211,1.05,  ,  ,  
212,1.070012624,  ,  ,  
213,1.05,  ,  ,  
214,1.031687629,  ,  ,  
215,1.039923198,  ,  ,  
216,0.898955915,  ,  ,  
217,0.944028117,  ,  ,  
218,0.865,  ,  ,  
219,0.835747428,LOW,  ,  
220,0.87704178,  ,  ,  
221,0.9,  ,  ,  
222,0.989095266,HIGH,  ,  
223,0.914652002,  ,  ,  
224,0.958,  ,  ,  
225,0.895033115,  ,  ,  
226,0.860220923,  ,  ,  
227,0.921096892,  ,  ,  
228,0.9399,  ,  ,  
229,0.939073383,  ,  ,  
230,0.9011,  ,  ,  
231,0.907840607,  ,  ,  
232,0.884770973,  ,  ,  
233,0.877583864,  ,  ,  
234,0.866071591,  ,  ,  
235,0.86,  ,  ,  
236,0.92067031,  ,  ,  
237,0.88,  ,  ,  
238,0.917815513,  ,  ,  
239,0.89249,  ,  ,  
240,0.893924923,  ,  ,  
241,0.87224,  ,  ,  
242,0.851211666,  ,  ,  
243,0.82542,  ,  ,  
244,0.801959208,  ,  ,  
245,0.765,  ,  ,  
246,0.7415,LOW,  ,  
247,0.75897,  ,  ,  
248,0.809130293,  ,  ,  
249,0.84971,  ,  ,  
250,0.872374366,  ,  ,  
251,0.88377,HIGH,  ,  
252,0.8552,  ,  ,  
253,0.822,  ,  ,  
254,0.7947405,  ,  ,  
255,0.792509942,  ,  ,  
256,0.789706312,  ,  ,  
257,0.78461,  ,  ,  
258,0.77411,  ,  ,  
259,0.78199,  ,  ,  
260,0.779,  ,  ,  
261,0.68,LOW,LOW,  
262,0.715691835,  ,  ,  
263,0.74,  ,  ,  
264,0.7538,  ,  ,  
265,0.74999,  ,  ,  
266,0.734060517,  ,  ,  
267,0.733156821,  ,  ,  
268,0.770113933,  ,  ,  
269,0.861381608,  ,  ,  
270,0.930320058,  ,  ,  
271,0.998629766,  ,  ,  
272,0.983673137,  ,  ,  
273,1.046632858,  ,  ,  
274,1.098122098,  ,  ,  
275,1.149433312,  ,  ,  
276,1.185162221,  ,  ,  
277,1.142125985,  ,  ,  
278,1.207338872,  ,  ,  
279,1.404505082,  ,  ,  
280,1.828852301,HIGH*,  ,  
281,1.63198422,  ,  ,  
282,1.564483635,LOW*,  ,  
283,1.77084089,  ,  ,  
284,1.903175959,  ,  ,  
285,2.285744466,  ,  ,  
286,2.85060509,  ,  ,  
287,3.5,  ,  ,  
288,3.094227553,  ,  ,  
289,3.2,  ,  ,  
290,3.360585704,  ,  ,  
291,3.408673047,  ,  ,  
292,3.343736684,  ,  ,  
293,3.455075584,  ,  ,  
294,3.641262978,  ,  ,  
295,3.848668377,  ,  ,  
296,3.804089582,  ,  ,  
297,5.651667002,  ,  ,  
298,5.439751044,  ,  ,  
299,6.334878694,  ,  ,  
300,8.139034867,HIGH,  ,  
301,7.007243829,  ,,  
302,6.924924845,  ,  ,  
303,7.885140745,  ,  ,  
304,7.257199541,  ,  ,  
305,6.763163362,  ,  ,  
306,6.890143632,  ,  ,  
307,5.618096219,LOW,  ,  
308,6.084800667,  ,  ,  
309,6.71195604,  ,  ,  
310,7.065256784,  ,  ,  
311,7.402660582,  ,  ,  
312,8.569289637,  ,  ,  
313,8.782155434,  ,  ,  
314,8.528658468,  ,  ,  
315,8.34926912,  ,  ,  
316,8.400953472,  ,  ,  
317,8.779342465,  ,  ,  
318,8.721576422,  ,  ,  
319,9.623777232,  ,  ,  
320,10.70276023,  ,  ,  
321,14.26464677,  ,  ,  
322,18.31273873,  ,  ,  
323,16.5433424,  ,  ,  
324,18.40209864,  ,  ,  
325,23.23787846,  ,  ,  
326,29.02992133,HIGH,HIGH,  
327,28.79054402,  ,  ,  
328,24.04939923,  ,  ,  
329,14.74974663,LOW,LOW,  
330,18.85014473,  ,  ,  
331,19.54232911,HIGH,HIGH,  
332,19.25773551,  ,  ,  
333,19.46414262,  ,  ,  
334,17.92936254,  ,  ,  
335,15.43636891,  ,  ,  
336,16.87540454,  ,  ,  
337,17.51071679,  ,  ,  
338,17.51071679,  ,  ,  
339,17.51071679,  ,  ,  
340,17.51071679,  ,  ,  
341,17.51071679,  ,  ,  
342,17.51071679,  ,  ,  
343,17.51071679,  ,  ,  
344,16.36134202,  ,  ,  
345,16.75228581,  ,,  
346,16.96183531,  ,  ,  
347,16.85456832,  ,  ,  
348,16.18526278,  ,  ,  
349,15.4203574,  ,  ,  
350,15.38284407,  ,  ,  
351,15.45755056,  ,  ,  
352,13.85279681,  ,  ,  
353,12.96481771,LOW,  ,  
354,14.71478358,  ,  ,  
355,14.79728916,HIGH,  ,  
356,14.2990377,  ,  ,  
357,14.38150067,  ,  ,  
358,14.62293755,  ,  ,  
359,14.31015543,  ,  ,  
360,14.02127262,  ,  ,  
361,13.97145452,  ,  ,  
362,13.99797455,  ,  ,  
363,13.80639041,  ,  ,  
364,13.7130793,  ,  ,  
365,13.25813531,LOW,  ,  
366,13.63052125,  ,  ,  
367,13.82479484,  ,  ,  
368,13.67833059,  ,  ,  
369,13.61180844,  ,  ,  
370,13.69854733,  ,  ,  
371,13.68171834,  ,  ,  
372,13.99251518,  ,  ,  
373,14.03342538,HIGH,  ,  
374,13.87803232,  ,  ,  
375,13.87822476,  ,  ,  
376,13.49159108,  ,  ,  
377,13.51231639,  ,  ,  
378,13.54028067,  ,  ,  
379,13.3729061,  ,  ,  
380,13.01911385,  ,  ,  
381,12.21415644,  ,  ,  
382,9.286356914,  ,  ,  
383,10.76850375,  ,  ,  
384,9.73015396,  ,  ,  
385,6.964169736,LOW,LOW*,  
386,8.501793292,  ,  ,  
387,7.775337638,  ,  ,  
388,9.802499481,  ,  ,  
389,10.05125313,  ,  ,  
390,9.438412995,  ,  ,  
391,9.452993285,  ,  ,  
392,10.00402474,  ,  ,  
393,10.80682077,  ,  ,  
394,11.13069655,  ,  ,  
395,10.99196557,  ,  ,  
396,10.96396406,  ,  ,  
397,10.85847146,  ,  ,  
398,11.67047304,HIGH,HIGH*,  
399,11.45973174,  ,  ,  
400,11.35448134,  ,  ,  
401,10.92089582,  ,  ,  
402,10.91724505,  ,  ,  
403,10.87044429,  ,  ,  
404,9.546093674,  ,  ,  
405,8.126920163,LOW*,  ,  
406,8.596497607,  ,  ,  
407,9.0308664,HIGH*,  ,  
